crime,log_pibpc,pop_scales,edad_media,ratio_mh,urban,densidad,hab_dom
Não,10.420069079264298,De 10.001 a 50.000,40.7,107.7,"(95,97.5]","(50,100]",2.73
Não,10.379904944561632,Até 10.000,40.6,102.2,"(90,95]","(-Inf,25]",2.67
Sim,10.27800776822344,De 10.001 a 50.000,35.7,99.1,"(90,95]","(50,100]",2.93
Sim,9.994957641347108,Até 10.000,40.6,103.6,"(90,95]","(50,100]",2.79
Sim,10.277287571737574,De 10.001 a 50.000,37.7,105.5,"(97.5,100]","(100,500]",2.9
Sim,10.296117980719501,Até 10.000,37.6,104.6,"(-Inf,80]","(-Inf,25]",2.76
Não,10.765144046861101,Até 10.000,41.6,112.6,"(97.5,100]","(500, Inf]",2.68
Sim,11.062953613234345,De 10.001 a 50.000,36.3,102.9,"(95,97.5]","(25,50]",3.01
Sim,9.806876977584414,Até 10.000,35,100.5,"(80,90]","(25,50]",2.85
Não,10.005499317381606,Até 10.000,41.3,96.3,"(90,95]","(25,50]",2.67
Não,10.025000512257906,Até 10.000,36.1,88.6,"(80,90]","(-Inf,25]",2.77
Sim,10.446135628146841,De 10.001 a 50.000,38.5,101.2,"(90,95]","(-Inf,25]",2.86
Não,10.307259561493819,Até 10.000,41.6,95.9,"(80,90]","(-Inf,25]",2.73
Sim,11.697088325523477,De 10.001 a 50.000,34.8,99.3,"(80,90]","(100,500]",2.96
Sim,10.231594540682801,Até 10.000,44.3,97.8,"(-Inf,80]","(-Inf,25]",2.48
Não,9.977058130319358,De 10.001 a 50.000,38.2,103.7,"(90,95]","(50,100]",2.79
Não,9.223541847769145,Até 10.000,33.7,60.8,"(-Inf,80]","(25,50]",4.41
Não,9.682312687087594,Até 10.000,35.5,102.8,"(90,95]","(25,50]",3.05
Sim,10.852290391254407,Mais de 100.000,38.5,104.5,"(97.5,100]","(500, Inf]",2.82
Sim,9.970398725458002,De 10.001 a 50.000,34.2,100.3,"(97.5,100]","(100,500]",2.93
Não,9.786212450359692,Até 10.000,40.6,100.3,"(80,90]","(-Inf,25]",2.64
Sim,11.02280010472014,De 50.001 a 100.000,38.9,103.7,"(80,90]","(100,500]",2.88
Sim,10.517660516882172,Até 10.000,36.9,96,"(80,90]","(-Inf,25]",2.84
Sim,10.51147300808143,De 50.001 a 100.000,39,104.3,"(90,95]","(50,100]",2.81
Sim,10.633021386014851,De 10.001 a 50.000,36.1,99.3,"(-Inf,80]","(-Inf,25]",2.85
Sim,10.022355332977432,Até 10.000,35.3,96.5,"(-Inf,80]","(-Inf,25]",2.9
Não,9.848382793209344,Até 10.000,37.7,101.1,"(80,90]","(-Inf,25]",2.89
Sim,10.376621900962325,De 10.001 a 50.000,37.4,107.8,"(97.5,100]","(100,500]",3.03
Não,10.099964694604326,Até 10.000,41.6,106.6,"(80,90]","(-Inf,25]",2.65
Sim,10.10071824706475,De 10.001 a 50.000,35.2,100.6,"(80,90]","(25,50]",2.93
Sim,12.026344303446608,De 10.001 a 50.000,32.5,97.8,"(97.5,100]","(100,500]",3.05
Sim,10.625341959257376,Mais de 100.000,39.1,108.5,"(97.5,100]","(100,500]",2.72
Sim,10.166948523093895,De 10.001 a 50.000,36,102.4,"(-Inf,80]","(100,500]",2.96
Sim,10.207328489483178,Até 10.000,38.2,100.6,"(95,97.5]","(25,50]",2.83
Não,10.026897836600801,Até 10.000,36.8,99,"(80,90]","(-Inf,25]",2.85
Não,9.529124230414878,Até 10.000,37.8,100.4,"(-Inf,80]","(-Inf,25]",2.81
Sim,10.700268358536926,Mais de 100.000,38.5,107.3,"(95,97.5]","(100,500]",2.75
Sim,10.729724684549778,Mais de 100.000,37.8,103.7,"(95,97.5]","(100,500]",2.92
Não,10.05200324273161,Até 10.000,40.5,100.7,"(-Inf,80]","(-Inf,25]",2.73
Não,10.178478304803319,Até 10.000,39.7,99.1,"(80,90]","(-Inf,25]",2.75
Não,9.401569637073344,Até 10.000,35,102.2,"(-Inf,80]","(-Inf,25]",3.12
Sim,9.4811130327442,De 10.001 a 50.000,34.4,95.4,"(90,95]","(100,500]",3.01
Não,11.29566793201284,Até 10.000,37,97.8,"(90,95]","(50,100]",2.88
Sim,10.106792003889039,De 50.001 a 100.000,35.5,101.5,"(90,95]","(100,500]",2.88
Sim,11.20469885807721,De 50.001 a 100.000,33.8,102.9,"(95,97.5]","(500, Inf]",3.15
Não,9.843047288724712,Até 10.000,41.4,100.2,"(-Inf,80]","(25,50]",2.7
Sim,10.467181869097683,Mais de 100.000,38.2,105.3,"(95,97.5]","(100,500]",2.8
Sim,10.822688246361148,Mais de 100.000,36.5,104,"(90,95]","(100,500]",3.03
Não,9.975446288163342,De 10.001 a 50.000,39.9,101.6,"(90,95]","(25,50]",2.68
Não,10.933234104492461,Até 10.000,36.6,100.2,"(-Inf,80]","(-Inf,25]",2.79
Sim,10.190180385852178,De 10.001 a 50.000,34.4,82.6,"(80,90]","(25,50]",3.31
Sim,10.358592305172937,De 50.001 a 100.000,37,102,"(95,97.5]","(50,100]",2.86
Não,10.087006725235115,De 10.001 a 50.000,37.8,101.4,"(90,95]","(100,500]",2.77
Não,9.565083952031829,Até 10.000,34.2,24.4,"(-Inf,80]","(25,50]",7.52
Não,10.144958918654819,Até 10.000,40.2,105.5,"(90,95]","(50,100]",2.72
Não,9.749544101235555,De 10.001 a 50.000,37.3,102.9,"(80,90]","(-Inf,25]",2.83
